"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.622798700E-2,9.321057005E-4,4.926844500E-3,-1.198421582E-3,5.155466230E-3
2.872830000E-2,1.997369342E-3,4.926844500E-3,-1.331579551E-4,5.317989475E-3
3.122923700E-2,3.062632866E-3,7.057371549E-3,-1.331579551E-4,7.694409938E-3
3.373111200E-2,1.997369342E-3,7.057371549E-3,9.321057005E-4,7.393564669E-3
3.623413300E-2,1.997369342E-3,5.992108025E-3,-1.331579551E-4,6.317639900E-3
3.873845600E-2,1.997369342E-3,4.926844500E-3,-1.198421582E-3,5.449724333E-3
4.124423700E-2,9.321057005E-4,5.992108025E-3,-1.331579551E-4,6.065633574E-3
4.375152900E-2,9.321057005E-4,4.926844500E-3,9.321057005E-4,5.100141057E-3
4.626027900E-2,9.321057005E-4,4.926844500E-3,9.321057005E-4,5.100141057E-3
4.877043500E-2,9.321057005E-4,2.796316985E-3,9.321057005E-4,3.091444768E-3
5.128189400E-2,-1.331579551E-4,1.731053460E-3,9.321057005E-4,1.970557830E-3
5.379449800E-2,-1.331579551E-4,6.657897611E-4,9.321057005E-4,1.153181722E-3
5.630803900E-2,-1.198421582E-3,-3.994738800E-4,-1.331579551E-4,1.270245925E-3
5.882225800E-2,-1.198421582E-3,-1.464737463E-3,-1.331579551E-4,1.897208782E-3
6.133689400E-2,-1.198421582E-3,-1.464737463E-3,9.321057005E-4,2.109618724E-3
6.385168500E-2,-1.198421582E-3,-1.464737463E-3,9.321057005E-4,2.109618724E-3
6.636475800E-2,-1.198421582E-3,-3.994738800E-4,9.321057005E-4,1.569909139E-3
6.887330000E-2,-1.198421582E-3,-3.994738800E-4,-1.331579551E-4,1.270245925E-3
7.138184100E-2,-1.198421582E-3,-3.994738800E-4,9.321057005E-4,1.569909139E-3
7.389038300E-2,-1.198421582E-3,6.657897611E-4,-1.331579551E-4,1.377396578E-3
7.639892500E-2,-1.331579551E-4,2.796316985E-3,-1.331579551E-4,2.802650667E-3
7.890746600E-2,9.321057005E-4,2.796316985E-3,-1.198421582E-3,3.181890005E-3
8.141600800E-2,9.321057005E-4,3.861580743E-3,-1.331579551E-4,3.974714821E-3
8.392455000E-2,1.997369342E-3,4.926844500E-3,-1.198421582E-3,5.449724333E-3
8.643309100E-2,1.997369342E-3,4.926844500E-3,-1.198421582E-3,5.449724333E-3
8.894163300E-2,9.321057005E-4,4.926844500E-3,9.321057005E-4,5.100141057E-3
9.145017500E-2,9.321057005E-4,3.861580743E-3,-1.198421582E-3,4.149318155E-3
9.395871600E-2,-1.331579551E-4,1.731053460E-3,-1.331579551E-4,1.741266253E-3
9.646725800E-2,9.321057005E-4,6.657897611E-4,-1.331579551E-4,1.153181722E-3
9.897580000E-2,-1.331579551E-4,6.657897611E-4,-1.198421582E-3,1.377396578E-3
1.014843410E-1,-1.198421582E-3,1.731053460E-3,-1.331579551E-4,2.109618783E-3
1.039928830E-1,-1.331579551E-4,6.657897611E-4,9.321057005E-4,1.153181722E-3
1.065014250E-1,-1.331579551E-4,-3.994738800E-4,-1.331579551E-4,4.416349882E-4
1.090099660E-1,9.321057005E-4,-3.994738800E-4,-1.331579551E-4,1.022805680E-3
1.115185080E-1,-1.331579551E-4,-3.994738800E-4,-2.263685223E-3,2.302516278E-3
1.140270500E-1,-1.198421582E-3,-3.994738800E-4,-1.198421582E-3,1.741266193E-3
1.165355910E-1,-1.198421582E-3,-3.994738800E-4,-1.198421582E-3,1.741266193E-3
1.190441330E-1,-1.198421582E-3,-3.994738800E-4,-1.331579551E-4,1.270245925E-3
1.215526750E-1,-1.198421582E-3,6.657897611E-4,-1.198421582E-3,1.820907626E-3
1.240612160E-1,-1.331579551E-4,1.731053460E-3,-1.198421582E-3,2.109618783E-3
1.265697580E-1,9.321057005E-4,3.861580743E-3,9.321057005E-4,4.080373501E-3
1.290783000E-1,9.321057005E-4,3.861580743E-3,9.321057005E-4,4.080373501E-3
1.315868410E-1,9.321057005E-4,3.861580743E-3,9.321057005E-4,4.080373501E-3
1.340953830E-1,9.321057005E-4,3.861580743E-3,9.321057005E-4,4.080373501E-3
1.366039250E-1,-1.331579551E-4,3.861580743E-3,9.321057005E-4,3.974714821E-3
1.391124660E-1,9.321057005E-4,3.861580743E-3,9.321057005E-4,4.080373501E-3
1.416210080E-1,1.997369342E-3,4.926844500E-3,-1.331579551E-4,5.317989475E-3
1.441295500E-1,-1.331579551E-4,3.861580743E-3,-1.331579551E-4,3.866169669E-3
1.466380910E-1,-1.331579551E-4,3.861580743E-3,-1.198421582E-3,4.045460562E-3
1.491466330E-1,9.321057005E-4,2.796316985E-3,-1.331579551E-4,2.950583122E-3
1.516551750E-1,-1.331579551E-4,2.796316985E-3,9.321057005E-4,2.950583122E-3
1.541637160E-1,-1.331579551E-4,2.796316985E-3,-1.331579551E-4,2.802650667E-3
1.566722580E-1,-1.198421582E-3,2.796316985E-3,-1.198421582E-3,3.269834439E-3
1.591808000E-1,-1.331579551E-4,1.731053460E-3,9.321057005E-4,1.970557830E-3
1.616893410E-1,-1.198421582E-3,6.657897611E-4,9.321057005E-4,1.657803164E-3
1.641978830E-1,-1.331579551E-4,6.657897611E-4,9.321057005E-4,1.153181722E-3
1.667064250E-1,-1.198421582E-3,6.657897611E-4,-1.331579551E-4,1.377396578E-3
1.692149660E-1,-1.331579551E-4,1.731053460E-3,9.321057005E-4,1.970557830E-3
1.717235080E-1,9.321057005E-4,2.796316985E-3,-1.198421582E-3,3.181890005E-3
1.742320500E-1,9.321057005E-4,2.796316985E-3,-1.198421582E-3,3.181890005E-3
1.767405910E-1,9.321057005E-4,2.796316985E-3,-1.331579551E-4,2.950583122E-3
1.792491330E-1,9.321057005E-4,3.861580743E-3,-1.198421582E-3,4.149318155E-3
1.817576750E-1,9.321057005E-4,2.796316985E-3,-1.198421582E-3,3.181890005E-3
1.842662160E-1,-1.331579551E-4,2.796316985E-3,-2.263685223E-3,3.600193121E-3
1.867747580E-1,-1.331579551E-4,2.796316985E-3,-1.198421582E-3,3.045214936E-3
1.892833000E-1,1.997369342E-3,1.731053460E-3,-2.263685223E-3,3.479985798E-3
1.917918410E-1,9.321057005E-4,1.731053460E-3,-1.331579551E-4,1.970557830E-3
1.943003830E-1,9.321057005E-4,1.731053460E-3,9.321057005E-4,2.175818962E-3
1.968089250E-1,9.321057005E-4,2.796316985E-3,9.321057005E-4,3.091444768E-3
1.993174660E-1,-1.331579551E-4,2.796316985E-3,-1.331579551E-4,2.802650667E-3
2.018260080E-1,-1.331579551E-4,1.731053460E-3,-1.198421582E-3,2.109618783E-3
2.043345500E-1,-1.331579551E-4,2.796316985E-3,-1.198421582E-3,3.045214936E-3
2.068430910E-1,-1.331579551E-4,2.796316985E-3,-1.331579551E-4,2.802650667E-3
2.093516330E-1,-1.331579551E-4,1.731053460E-3,9.321057005E-4,1.970557830E-3
