"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.522902900E-2,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
3.772934200E-2,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
4.023027900E-2,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
4.273215400E-2,-1.731053460E-3,-0.000000000E0,-1.065263641E-3,2.032568008E-3
4.523517500E-2,-1.731053460E-3,-0.000000000E0,0.000000000E0,1.731053460E-3
4.773949800E-2,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
5.024527900E-2,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
5.275257100E-2,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
5.526132100E-2,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
5.777147700E-2,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
6.028293600E-2,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
6.279554000E-2,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
6.530908100E-2,3.994738800E-4,-1.065263641E-3,1.065263641E-3,1.558573909E-3
6.782330000E-2,3.994738800E-4,1.065263641E-3,0.000000000E0,1.137702072E-3
7.033793600E-2,-6.657897611E-4,2.130527282E-3,1.065263641E-3,2.473299240E-3
7.285272700E-2,-1.731053460E-3,2.130527282E-3,1.065263641E-3,2.944567745E-3
7.536611300E-2,-6.657897611E-4,1.065263641E-3,1.065263641E-3,1.647072936E-3
7.787470600E-2,1.464737463E-3,-0.000000000E0,0.000000000E0,1.464737463E-3
8.038324800E-2,3.994738800E-4,-2.130527282E-3,1.065263641E-3,2.415266550E-3
8.289179000E-2,1.464737463E-3,-1.065263641E-3,1.065263641E-3,2.101197060E-3
8.540033100E-2,1.464737463E-3,-0.000000000E0,1.065263641E-3,1.811143964E-3
8.790887300E-2,3.994738800E-4,1.065263641E-3,0.000000000E0,1.137702072E-3
9.041741500E-2,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
9.292595600E-2,-6.657897611E-4,1.065263641E-3,1.065263641E-3,1.647072936E-3
9.543449800E-2,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
9.794304000E-2,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
1.004515810E-1,-1.731053460E-3,-0.000000000E0,-1.065263641E-3,2.032568008E-3
1.029601230E-1,-6.657897611E-4,-1.065263641E-3,0.000000000E0,1.256209629E-3
1.054686650E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
1.079772060E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
1.104857480E-1,1.464737463E-3,-2.130527282E-3,1.065263641E-3,2.796317035E-3
1.129942900E-1,3.994738800E-4,-0.000000000E0,2.130527282E-3,2.167654465E-3
1.155028310E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
1.180113730E-1,3.994738800E-4,1.065263641E-3,1.065263641E-3,1.558573909E-3
1.205199150E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
1.230284560E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
1.255369980E-1,-6.657897611E-4,-1.065263641E-3,-2.130527282E-3,2.473299240E-3
1.280455400E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
1.305540810E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
1.330626230E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
1.355711650E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
1.380797060E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
1.405882480E-1,-1.731053460E-3,-0.000000000E0,0.000000000E0,1.731053460E-3
1.430967900E-1,-1.731053460E-3,-1.065263641E-3,-1.065263641E-3,2.294802678E-3
1.456053310E-1,-6.657897611E-4,-1.065263641E-3,0.000000000E0,1.256209629E-3
1.481138730E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
1.506224150E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
1.531309560E-1,-6.657897611E-4,-1.065263641E-3,0.000000000E0,1.256209629E-3
1.556394980E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
1.581480400E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
1.606565810E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
1.631651230E-1,-6.657897611E-4,-0.000000000E0,2.130527282E-3,2.232134070E-3
1.656736650E-1,-6.657897611E-4,-0.000000000E0,2.130527282E-3,2.232134070E-3
1.681822060E-1,3.994738800E-4,-1.065263641E-3,1.065263641E-3,1.558573909E-3
1.706907480E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
