"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.419529319E-3,-9.310974181E-2,5.108261108E-2,1.062114506E-1
0.000000000E0,-1.429587603E-3,-8.760721982E-2,1.028900146E-1,1.351422354E-1
0.000000000E0,1.316659153E-2,-9.649910033E-2,9.729385376E-2,1.376645542E-1
0.000000000E0,-5.934834480E-4,-8.167839050E-2,2.052402496E-2,8.421963725E-2
3.414331000E-3,5.814433098E-5,-8.597518504E-2,-2.711391449E-2,9.014932158E-2
8.431258000E-3,-4.301801324E-3,-9.013314545E-2,-6.011676788E-2,1.084274651E-1
1.344818500E-2,-1.853460073E-2,-9.415338933E-2,-6.911277771E-2,1.182580576E-1
1.846646600E-2,2.312362194E-4,-9.798458219E-2,-5.905056000E-2,1.144027991E-1
2.348599800E-2,-5.055278540E-3,-8.273731172E-2,-1.583576202E-2,8.439069825E-2
2.850662300E-2,8.747726679E-3,-8.661110699E-2,5.076217651E-2,1.007710531E-1
3.352818500E-2,8.396342397E-3,-1.000011116E-1,7.407283783E-2,1.247297326E-1
3.855047700E-2,1.790213585E-2,-9.908844531E-2,4.496479034E-2,1.102761934E-1
4.357328900E-2,8.595123887E-3,-8.883920312E-2,2.560329437E-2,9.285369593E-2
4.859636200E-2,-4.795342684E-4,-9.297247231E-2,6.408691406E-3,9.319432325E-2
5.361943500E-2,4.715338349E-3,-8.762589097E-2,-7.878303528E-3,8.810561191E-2
5.863776800E-2,4.911839962E-3,-6.797511876E-2,-2.205276489E-2,7.163146921E-2
6.365506000E-2,-4.597678781E-3,-6.737999618E-2,-4.086303711E-2,7.893662228E-2
6.867235200E-2,-9.484320879E-3,-7.143430412E-2,-5.002593994E-2,8.772346787E-2
7.368964300E-2,-2.920329571E-4,-7.540428638E-2,-2.587795258E-2,7.972176690E-2
7.870688300E-2,-5.371555686E-3,-6.509663165E-2,2.656078339E-2,7.051170312E-2
8.372412300E-2,-1.025174558E-2,-7.391847670E-2,6.432056427E-2,9.851991917E-2
8.874136200E-2,-1.493789256E-2,-6.377682090E-2,4.953765869E-2,8.212553285E-2
9.375860200E-2,-5.133390427E-3,-7.276518643E-2,1.114082336E-2,7.379188301E-2
9.877584100E-2,-5.482137203E-5,-7.228375971E-2,-2.218341827E-2,7.561116961E-2
1.037930810E-1,-9.316816926E-3,-6.700728834E-2,-2.674102783E-2,7.274518773E-2
1.088103210E-1,-1.395922899E-2,-6.167173386E-2,-2.176952362E-2,6.687432235E-2
1.138275600E-1,-1.866480708E-2,-6.112816930E-2,-1.684188843E-2,6.609597046E-2
1.188448000E-1,-4.440248013E-3,-7.953161001E-2,-2.460479736E-3,7.969345490E-2
1.238620390E-1,-4.631221294E-3,-6.449066103E-2,7.049560547E-3,6.503990986E-2
1.288792790E-1,-2.057850361E-5,-5.432356894E-2,1.173305511E-2,5.557621027E-2
1.338965180E-1,-9.381771088E-5,-6.803520024E-2,6.883621216E-3,6.838261120E-2
1.389137580E-1,9.485125542E-3,-8.168411255E-2,2.107238770E-2,8.488997216E-2
1.439309980E-1,4.895672202E-3,-7.622338831E-2,2.564907074E-2,8.057200111E-2
1.489482370E-1,3.432929516E-4,-8.510613441E-2,1.697540283E-3,8.512375466E-2
1.539654770E-1,-4.275381565E-3,-7.497334480E-2,-1.255798340E-2,7.613792922E-2
1.589827160E-1,5.286902189E-3,-7.437047362E-2,-3.144645691E-2,8.091846720E-2
1.639999560E-1,-4.379093647E-3,-7.372109592E-2,-2.643871307E-2,7.844094590E-2
1.690171960E-1,9.726434946E-3,-8.257412910E-2,-2.479553223E-3,8.318196029E-2
1.740344350E-1,-2.807378769E-5,-7.705634832E-2,3.077602386E-2,8.297496761E-2
1.790516750E-1,4.543051124E-3,-7.158552110E-2,2.576637268E-2,7.621700667E-2
1.840689140E-1,9.231805801E-3,-7.095934451E-2,1.605415344E-2,7.333614834E-2
1.890861540E-1,9.237185121E-3,-7.983444631E-2,1.117324829E-2,8.114003872E-2
1.941033930E-1,4.595935345E-3,-7.444255054E-2,1.108360291E-2,7.540333020E-2
1.991206330E-1,1.418621838E-2,-6.439958513E-2,1.498222351E-3,6.596059450E-2
2.041378730E-1,-4.704296589E-5,-6.388673186E-2,-1.750564575E-2,6.624171159E-2
2.091551120E-1,3.339350224E-5,-6.807416677E-2,-1.261043549E-2,6.923233623E-2
2.141723520E-1,-4.786565900E-3,-6.267532706E-2,-1.725673676E-2,6.518360836E-2
2.191895910E-1,-4.818961024E-3,-5.732242763E-2,-7.618904114E-3,5.802698333E-2
2.242068310E-1,-4.903748631E-3,-5.206662416E-2,1.143550873E-2,5.353270928E-2
2.292240710E-1,-1.443327963E-2,-5.630007386E-2,2.558326721E-2,6.350213728E-2
