"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.414187789E-1,2.569583654E-1,-8.758544922E-2,3.632930488E-1
4.443974000E-3,4.977151752E-2,2.627129853E-1,-5.760030746E-1,6.350392575E-1
9.461786000E-3,-1.273547560E-1,1.114156842E-1,-2.890243530E-1,3.349145640E-1
1.447959900E-2,-9.995529056E-2,1.655215025E-2,1.193350792E0,1.197643998E0
1.949845300E-2,2.913961411E-1,6.797611713E-4,1.655432701E0,1.680883577E0
2.451824500E-2,4.453887939E-1,-5.548995733E-2,7.254667282E-1,8.530839858E-1
2.953881800E-2,1.759082675E-1,-1.610628814E-1,4.807405472E-1,5.366530015E-1
3.456001600E-2,-6.977900863E-3,-1.442310959E-1,8.916835785E-1,9.033000079E-1
3.958163000E-2,6.147737801E-2,4.520684481E-3,6.231384277E-1,6.261800098E-1
4.460350500E-2,4.948115349E-2,7.147705555E-2,-2.141332626E-1,2.311069194E-1
4.962543200E-2,-1.210959107E-1,4.394233227E-2,-6.199874878E-1,6.332295264E-1
5.464413000E-2,-1.943985224E-1,5.604445934E-2,-3.941707611E-1,4.430602169E-1
5.966126600E-2,-9.572280943E-2,4.078018665E-2,-4.318370819E-1,4.441949405E-1
6.467840100E-2,-3.585626185E-2,-2.058163285E-2,-8.091993332E-1,8.102547969E-1
6.969553600E-2,-1.043841094E-1,-9.939745069E-2,-7.223482132E-1,7.365886482E-1
7.471267200E-2,-5.595530570E-2,-6.750348210E-2,-1.191835403E-1,1.479609159E-1
7.972980700E-2,6.337478757E-2,-3.595891595E-2,3.588867188E-1,3.662090717E-1
8.474694300E-2,1.220374107E-1,-1.931595802E-2,4.968729019E-1,5.120048013E-1
8.976407800E-2,1.699481159E-1,-4.614627361E-2,5.152225494E-1,5.444870211E-1
9.478116100E-2,1.645383686E-1,-6.436008215E-2,6.197538376E-1,6.444454314E-1
9.979824500E-2,1.336423159E-1,-8.379033208E-2,5.903549194E-1,6.110646604E-1
1.048153280E-1,7.636456192E-2,-9.481815994E-2,2.502260208E-1,2.782716142E-1
1.098324110E-1,6.000801921E-3,-4.906183481E-2,3.013324738E-2,5.788856412E-2
1.148494950E-1,-4.504214227E-2,3.001117706E-2,-4.620075226E-2,7.116161071E-2
1.198665780E-1,-8.754287660E-2,1.188588440E-1,-1.033401489E-1,1.801953563E-1
1.248836610E-1,-1.126682460E-1,1.366338730E-1,-2.465591431E-1,3.035693659E-1
1.299007450E-1,-1.352002174E-1,1.315073371E-1,-3.514289856E-1,3.988428392E-1
1.349178280E-1,-1.600791514E-1,9.378808737E-2,-3.223476410E-1,3.719267962E-1
1.399349110E-1,-1.154108495E-1,-8.084475994E-4,-2.646760941E-1,2.887451342E-1
1.449519950E-1,2.661240101E-1,-8.235026598E-1,-3.110015869E0,3.228184835E0
1.499690780E-1,1.859176159E-1,-6.557679176E-1,-8.969526291E0,8.995387641E0
1.549861610E-1,-1.621458650E0,1.000583410E0,1.147195625E1,1.162910468E1
1.600032450E-1,3.153289080E0,1.474917293E0,3.183142853E1,3.202121883E1
