"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,4.523938000E-1,4.449741840E-1,4.937391281E-1,8.040152370E-1
0.000000000E0,3.432213366E-1,4.889637232E-1,6.838188171E-1,9.080168408E-1
0.000000000E0,2.528300881E-1,4.592041969E-1,9.260568619E-1,1.064130095E0
0.000000000E0,2.025093436E-1,4.087767601E-1,1.095916748E0,1.187072867E0
3.503506000E-3,-3.135722876E-2,3.285768032E-1,1.045157433E0,1.096038343E0
8.520485000E-3,-1.069803357E0,1.044011116E-1,1.118347168E0,1.551154152E0
1.353746400E-2,-8.978807926E-1,3.761714697E-2,1.257965088E0,1.545988722E0
1.855444300E-2,-3.165228963E-1,1.325396895E-1,1.057521820E0,1.111803001E0
2.357152600E-2,1.347144842E-1,2.746240497E-1,4.697751999E-1,5.605846050E-1
2.858871400E-2,2.278519869E-1,4.165076017E-1,8.358573914E-2,4.820598366E-1
3.360605800E-2,1.686532199E-1,3.571102619E-1,1.809310913E-1,4.344050041E-1
3.862355800E-2,6.454214454E-2,2.491575480E-1,2.781848907E-1,3.789881338E-1
4.364116200E-2,-8.334171772E-2,1.154389381E-1,5.858478546E-1,6.029010691E-1
4.865887000E-2,-3.760931492E-1,1.090902090E0,1.653905869E0,2.016660122E0
5.367668300E-2,-6.648187637E-1,1.938633561E0,1.315350533E0,2.435247646E0
5.869454700E-2,-7.446407080E-1,2.170450687E0,1.437362671E0,2.707647949E0
6.371246400E-2,-5.463574529E-1,2.149102688E0,1.866425514E0,2.898394906E0
6.873043300E-2,-9.232464433E-2,1.601364613E0,2.071326256E0,2.619787190E0
7.374840100E-2,3.294277191E-1,6.043158174E-1,2.191017151E0,2.296579279E0
7.876637000E-2,6.284313202E-1,-5.248642564E-1,2.306806564E0,2.447808190E0
8.378413100E-2,8.190701604E-1,-1.512708902E0,2.624246597E0,3.137807253E0
8.880152600E-2,1.024065495E0,-2.187606573E0,3.358319283E0,4.136742808E0
9.381892200E-2,1.130376220E0,-2.676186562E0,4.221794128E0,5.124770295E0
9.883631800E-2,9.955078959E-1,-3.018636227E0,4.980565071E0,5.908403259E0
1.038537140E-1,7.306262255E-1,-3.188248873E0,5.620977402E0,6.503393922E0
1.088711100E-1,3.888422251E-1,-3.186461687E0,5.986102104E0,6.792507251E0
1.138885060E-1,1.821053028E-2,-3.095093250E0,5.986283302E0,6.739103919E0
1.189059010E-1,-3.192362785E-1,-2.961059570E0,5.488951683E0,6.244867986E0
1.239232970E-1,-6.156856418E-1,-2.853612900E0,4.495546341E0,5.360234351E0
1.289406930E-1,-8.501695991E-1,-2.754834652E0,3.174696922E0,4.288426618E0
1.339580890E-1,-1.049839020E0,-2.684695721E0,1.632349014E0,3.312750577E0
1.389754850E-1,-1.328346372E0,-2.590998173E0,-2.795581818E-1,2.925051861E0
1.439928810E-1,-1.622618318E0,-2.473439455E0,-2.317322254E0,3.757762016E0
1.490102760E-1,-1.914702654E0,-2.437795162E0,-4.041854382E0,5.093674346E0
1.540276720E-1,-2.353562593E0,-2.460625172E0,-6.148453712E0,7.028329543E0
1.590450680E-1,-2.974837303E0,-2.388470411E0,-8.356525421E0,9.186183375E0
1.640624640E-1,-3.608075619E0,-2.283472538E0,-1.056790352E1,1.139794022E1
1.690798600E-1,-4.095288277E0,-2.140823841E0,-1.236449814E1,1.319982299E1
1.740972560E-1,-4.258356571E0,-2.076270580E0,-1.398859978E1,1.476906984E1
1.791146510E-1,-4.115898132E0,-2.033271790E0,-1.535699081E1,1.602847399E1
1.841320470E-1,-3.703536034E0,-1.894068122E0,-1.609450531E1,1.662338035E1
