"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.126259000E-3,8.473395109E-1,-1.372035146E0,8.850487709E0,8.996199052E0
8.142092000E-3,2.621837258E-1,-1.053985834E0,9.633234978E0,9.694268543E0
1.315792500E-2,-1.908365488E-1,-7.222769260E-1,1.023351574E1,1.026074787E1
1.817375900E-2,-3.413430452E-1,-5.734851360E-1,1.043163300E1,1.045295974E1
2.318959200E-2,-3.059507012E-1,-5.700910687E-1,1.016122627E1,1.018180382E1
2.820547700E-2,-1.869773865E-1,-6.893017888E-1,9.255630493E0,9.283145659E0
3.322146700E-2,4.684720933E-2,-8.120777607E-1,7.864065170E0,7.906022132E0
3.823761300E-2,2.320996225E-1,-9.432917237E-1,6.269469261E0,6.344282018E0
4.325396700E-2,3.120020330E-1,-1.029607773E0,4.539201736E0,4.664953359E0
4.827058100E-2,2.832177877E-1,-9.460738897E-1,2.879223824E0,3.043878767E0
5.328745600E-2,-9.978249669E-2,-7.595859170E-1,1.279994965E0,1.491748780E0
5.830459200E-2,-8.659877777E-1,-6.132280827E-1,-3.924627304E-1,1.131375493E0
6.332198800E-2,-1.810497522E0,-5.146401525E-1,-2.296040535E0,2.968932115E0
6.833964400E-2,-2.481806993E0,-2.215763330E-1,-4.215537071E0,4.896857648E0
7.335750900E-2,-2.812726259E0,2.832126617E-1,-5.826089382E0,6.475720494E0
7.837558100E-2,-2.951886654E0,7.432038784E-1,-6.908400536E0,7.549303596E0
8.339381100E-2,-2.043575287E0,1.215411305E0,-6.970608711E0,7.364971853E0
8.841214400E-2,-2.365377903E0,8.993932009E-1,-7.706861496E0,8.111697410E0
9.343058100E-2,-2.141430855E0,7.137532234E-1,-8.862834930E0,9.145764745E0
9.844907100E-2,-1.787257671E0,5.342171192E-1,-1.027556133E1,1.044350701E1
1.034675610E-1,-1.554180622E0,4.959275723E-1,-1.189727783E1,1.200860697E1
1.084852170E-1,-1.378094912E0,5.725058317E-1,-1.368524837E1,1.376636959E1
1.135026130E-1,-1.095378160E0,7.708934546E-1,-1.533848572E1,1.539685923E1
1.185199560E-1,-6.822904348E-1,1.030293345E0,-1.680488014E1,1.685025285E1
1.235373000E-1,-1.467782259E-2,1.356435418E0,-1.821401024E1,1.826445459E1
1.285546440E-1,6.776039004E-1,1.715938210E0,-1.935554886E1,1.944327294E1
1.335719880E-1,1.289737582E0,2.045373201E0,-2.037304306E1,2.051603905E1
1.385893310E-1,1.655323505E0,2.233345985E0,-2.150061035E1,2.167957969E1
1.436066750E-1,1.660758495E0,2.355441093E0,-2.279029846E1,2.297180719E1
1.486240190E-1,1.285933137E0,2.282325745E0,-2.418410301E1,2.432557242E1
1.536413630E-1,6.548782587E-1,1.967828035E0,-2.516049576E1,2.524582658E1
1.586587060E-1,2.215613276E-1,1.557476640E0,-2.563384628E1,2.568207348E1
1.636760500E-1,1.704193950E-1,1.234736085E0,-2.559510994E1,2.562544183E1
1.686933940E-1,3.440475464E-1,8.621401787E-1,-2.505443001E1,2.507161976E1
1.737107380E-1,6.217031479E-1,2.350507975E-1,-2.420861435E1,2.421773673E1
1.787280810E-1,7.739434838E-1,-7.129333019E-1,-2.291952133E1,2.294366406E1
1.837454250E-1,6.753684878E-1,-1.957687855E0,-2.184804726E1,2.194597533E1
1.887627690E-1,1.916213632E-1,-3.618666172E0,-2.238806534E1,2.267943856E1
1.937801130E-1,-6.942902803E-1,-6.385968208E0,-2.106596756E1,2.202356961E1
1.987974560E-1,-2.464911938E0,-9.117558479E0,-4.413009644E0,1.042498526E1
2.038148000E-1,-2.013478041E0,-9.842716217E0,2.159534454E1,2.381789374E1
2.088321440E-1,1.630236387E0,-8.533653259E0,3.577138901E1,3.681131864E1
2.138494880E-1,1.260329604E0,-6.370970249E0,4.430710602E1,4.478054640E1
2.188668310E-1,-7.842422724E-1,-3.966449261E0,4.821879578E1,4.838801527E1
2.238841750E-1,-2.101307958E-1,-3.726789951E0,4.925181961E1,4.939306483E1
2.289015190E-1,-6.878365278E-1,-4.444594383E0,4.676275253E1,4.697853300E1
2.339188630E-1,-1.643858314E0,-5.242316246E0,4.169673157E1,4.205712274E1
2.389362060E-1,-2.980180740E0,-5.830883980E0,3.523707962E1,3.584037479E1
2.439535500E-1,-2.673804760E0,-5.751149178E0,2.872383118E1,2.941570034E1
2.489708940E-1,-7.251605988E-1,-4.918328762E0,2.458609390E1,2.508369648E1
2.539882380E-1,1.887416720E0,-3.547298431E0,2.283017540E1,2.318108230E1
2.590055810E-1,3.982368469E0,-2.185350895E0,2.167853928E1,2.214935851E1
2.640229250E-1,5.003798485E0,-1.629025698E0,2.061369896E1,2.127478105E1
2.690402690E-1,5.092248440E0,-1.713890791E0,1.976933670E1,2.048646112E1
2.740576130E-1,4.935175419E0,-2.060530901E0,1.883438873E1,1.957896685E1
2.790749560E-1,4.851350784E0,-2.231348991E0,1.787153435E1,1.865224551E1
2.840923000E-1,4.523630142E0,-2.223045826E0,1.654200935E1,1.729286662E1
2.891096440E-1,3.573779583E0,-2.378489256E0,1.380957699E1,1.446144973E1
2.941269880E-1,2.279289484E0,-2.563194990E0,9.720241547E0,1.030767796E1
2.991443310E-1,7.130116224E-1,-2.975710869E0,5.343158722E0,6.157319699E0
3.041616750E-1,-6.877808571E-1,-3.437016010E0,1.071428299E0,3.665253083E0
3.091790190E-1,-1.787707806E0,-3.492688656E0,-2.960920811E0,4.915467963E0
3.141963630E-1,-2.686222792E0,-3.063245773E0,-6.758937836E0,7.891926775E0
3.192137060E-1,-3.449352980E0,-2.233092785E0,-1.026083851E1,1.105303335E1
3.242310500E-1,-4.100730896E0,-1.182633638E0,-1.383063698E1,1.447415405E1
3.292483940E-1,-4.576910019E0,-2.493143082E-1,-1.749740219E1,1.808782315E1
3.342657380E-1,-5.017374992E0,6.409946680E-1,-1.992273712E1,2.055481404E1
3.392830810E-1,-5.540175438E0,6.047044992E-1,-2.209429359E1,2.278633408E1
3.443004250E-1,-6.490429401E0,5.504002571E-1,-2.515682983E1,2.598643303E1
3.493177690E-1,-5.081906319E0,1.651740789E0,-2.893935394E1,2.942856140E1
3.543351130E-1,-4.042918205E0,2.367207766E0,-2.712389374E1,2.752552400E1
3.593524560E-1,-3.705795765E0,1.940546989E0,-2.661719322E1,2.694389764E1
3.643698000E-1,-2.726460934E0,9.171030521E-1,-2.824957085E1,2.839564967E1
3.693871440E-1,-1.609764814E0,5.418977737E-1,-2.935033417E1,2.939944067E1
3.744044880E-1,-7.290946245E-1,-9.509750605E-1,-3.498155212E1,3.500207025E1
3.794218310E-1,3.010861576E-1,-1.565543771E0,-3.969883347E1,3.973083134E1
3.844391750E-1,1.805120468E0,-1.687032819E0,-4.257903290E1,4.265065746E1
3.894565190E-1,3.285358667E0,-2.409947872E0,-4.380409241E1,4.399318063E1
3.944738630E-1,4.032736301E0,-3.501035929E0,-4.280811691E1,4.313994771E1
3.994912060E-1,2.839379787E0,-4.605126381E0,-3.729171753E1,3.768211065E1
4.045085500E-1,4.651714265E-1,-5.517327785E0,-3.067562103E1,3.117131720E1
4.095258940E-1,-1.483994365E0,-6.160783768E0,-2.631458855E1,2.706686288E1
4.145432380E-1,-3.457726955E0,-6.905135632E0,-2.375485611E1,2.497859008E1
4.195605810E-1,-4.901393890E0,-8.069322586E0,-1.981682205E1,2.195094680E1
4.245779250E-1,-5.231704235E0,-6.643969536E0,-5.178042412E0,9.915905587E0
4.295952690E-1,-4.921795368E0,-5.716204166E0,2.063245392E1,2.196809538E1
4.346126130E-1,-2.698769331E0,-6.306757450E0,4.350664520E1,4.404414515E1
4.396299560E-1,-2.467764616E0,-3.493551016E0,5.378622437E1,5.395602554E1
4.446473000E-1,1.618386626E0,-1.965844035E0,5.529224396E1,5.535084426E1
4.496646440E-1,6.969489574E0,-1.920246243E0,5.370551300E1,5.418988150E1
4.546819880E-1,7.710800171E0,-2.049705505E0,4.827679062E1,4.893164870E1
4.596993310E-1,7.155808926E0,-3.134067059E0,4.271982193E1,4.342823003E1
4.647166750E-1,5.768366814E0,-5.306803226E0,3.868328094E1,3.946938612E1
4.697340190E-1,4.027838707E0,-6.860232353E0,3.429949951E1,3.520996932E1
4.747513630E-1,3.468497515E0,-6.135334969E0,2.958275223E1,3.041072244E1
4.797687060E-1,3.869115353E0,-3.787738085E0,2.539376640E1,2.596459870E1
4.847860500E-1,4.520595551E0,-1.477046728E0,2.254935455E1,2.304540826E1
4.898033940E-1,4.211818218E0,-7.070139647E-1,2.167932129E1,2.209597821E1
4.948207380E-1,3.143124819E0,-1.210906029E0,2.052428055E1,2.079883696E1
4.998380810E-1,1.986688375E0,-2.166361094E0,1.901314354E1,1.923901448E1
5.048554250E-1,1.508325458E0,-3.000183344E0,1.789746475E1,1.820976085E1
5.098727690E-1,1.734286308E0,-3.742647648E0,1.675618553E1,1.725644558E1
5.148901130E-1,2.088792801E0,-3.621809959E0,1.343271351E1,1.406834585E1
5.199074560E-1,1.566198230E0,-3.279336929E0,9.273732185E0,9.960378318E0
5.249248000E-1,3.214111328E-1,-3.021118164E0,5.131678581E0,5.963605045E0
5.299421440E-1,-9.155144095E-1,-2.861441851E0,1.116703033E0,3.205158618E0
5.349594880E-1,-1.785737276E0,-2.642725945E0,-2.670771122E0,4.160033224E0
5.399768310E-1,-2.338168144E0,-2.180234432E0,-6.001295090E0,6.799705523E0
5.449941750E-1,-2.587399006E0,-1.486644268E0,-8.841787338E0,9.331770900E0
5.500115190E-1,-2.487421751E0,-2.476572990E-2,-1.209200573E1,1.234522105E1
5.550288630E-1,-2.864847183E0,5.029401779E-1,-1.377165794E1,1.407547018E1
5.600462060E-1,-3.062186480E0,3.646637201E-1,-1.616382980E1,1.645537479E1
5.650635500E-1,-2.899511337E0,6.444391012E-1,-1.979434204E1,2.001595475E1
5.700808940E-1,-3.229684591E0,7.282037735E-1,-2.296019173E1,2.319766254E1
5.750982380E-1,-4.077311039E0,7.623927593E-1,-2.566317749E1,2.599623794E1
5.801155810E-1,-5.076162338E0,1.123093367E0,-2.868473434E1,2.915206249E1
5.851329250E-1,-6.067726612E0,1.862199306E0,-3.246602631E1,3.308062812E1
5.901502690E-1,-6.995190620E0,2.468984842E0,-3.696974945E1,3.770664335E1
5.951676130E-1,-7.375800610E0,2.710632563E0,-4.031739044E1,4.107605063E1
6.001849560E-1,-7.575584888E0,2.532023191E0,-4.107680130E1,4.184619735E1
6.052023000E-1,-7.763560295E0,2.242069721E0,-4.057587433E1,4.137271229E1
6.102196440E-1,-7.888333797E0,1.941859484E0,-3.936552429E1,4.019503864E1
6.152369880E-1,-8.308966637E0,1.511965275E0,-3.740295792E1,3.834457232E1
6.202543310E-1,-8.864067078E0,9.538019896E-1,-3.528152084E1,3.639048140E1
6.252716750E-1,-9.250816345E0,3.088327646E-1,-3.307724380E1,3.434788259E1
6.302890190E-1,-9.225678444E0,-4.240342379E-1,-3.081789017E1,3.217196454E1
6.353063630E-1,-8.809333801E0,-1.370638490E0,-2.818647385E1,2.956281989E1
6.403237060E-1,-8.013179779E0,-2.676031113E0,-2.586098099E1,2.720592822E1
6.453410500E-1,-7.137816429E0,-4.194784641E0,-2.436547279E1,2.573365318E1
6.503583940E-1,-5.520722866E0,-6.104930401E0,-1.586956596E1,1.787712729E1
6.553757380E-1,8.615863323E-1,-8.285883904E0,1.934724426E1,2.106452144E1
6.603930810E-1,4.857858181E0,-7.406466961E0,3.823529816E1,3.924783515E1
6.654104250E-1,1.030423927E1,-7.431101799E0,4.777843475E1,4.943862304E1
6.704277690E-1,1.403525829E1,-8.374513626E0,5.541347504E1,5.777347289E1
6.754451130E-1,1.278429127E1,-7.775090694E0,5.640592957E1,5.835682504E1
6.804624560E-1,8.194064140E0,-6.888350010E0,4.900994873E1,5.016539771E1
6.854798000E-1,6.605249405E0,-6.885070324E0,4.403725433E1,4.505899780E1
6.904971440E-1,4.720770836E0,-7.758252144E0,4.341062164E1,4.435040276E1
6.955144880E-1,2.955260515E0,-8.816332817E0,4.332995224E1,4.431643093E1
7.005318310E-1,2.562484503E0,-8.391236305E0,4.002411270E1,4.097448927E1
7.055491750E-1,3.811002731E0,-5.978614330E0,3.498949814E1,3.570059595E1
7.105665190E-1,4.517286301E0,-3.251941919E0,2.786122894E1,2.841177714E1
7.155838630E-1,3.845541239E0,-1.826742768E0,2.331546021E1,2.370096751E1
7.206012060E-1,2.653708935E0,-1.632861614E0,2.234446907E1,2.256066724E1
7.256185500E-1,1.781310201E0,-1.877862453E0,2.252001572E1,2.266827169E1
7.306358940E-1,1.560923338E0,-2.037374020E0,2.187635422E1,2.202639890E1
7.356532380E-1,1.826508284E0,-2.215299606E0,2.021018219E1,2.041311218E1
7.406705810E-1,1.014518380E0,-2.864968538E0,1.711265945E1,1.738046046E1
7.456879250E-1,-1.326549649E-1,-3.734412193E0,1.134768200E1,1.194710503E1
7.507052690E-1,-9.147282839E-1,-4.693020821E0,5.199906349E0,7.064007241E0
